,Unnamed: 0,SourceFile,cust.GPSLatt,cust.GPSLong,cust.author,cust.MediaDate,cust.GPSAlt,suggested.SourceFile,suggested.cust.GPSLatt,suggested.cust.GPSLong,suggested.cust.GPSAlt,suggested.time.diff,suggested.approved
88,88,/Users/sergey/Pictures/exports/julshow2021/DSC09263.jpg,,,authS,2021-12-20T02:06:46Z,,/Users/sergey/Pictures/exports/IMG_4952 copy.jpg,61.0058944444444,14.5421027777778,163.9476471,659.536944444444,
89,89,/Users/sergey/Pictures/exports/julshow2021/DSC09659.jpg,,,authS,2021-12-20T02:07:29Z,,/Users/sergey/Pictures/exports/IMG_4952 copy.jpg,61.0058944444444,14.5421027777778,163.9476471,659.525,
90,90,/Users/sergey/Pictures/exports/julshow2021/DSC09274.jpg,,,authS,2021-12-20T02:06:49Z,,/Users/sergey/Pictures/exports/IMG_4952 copy.jpg,61.0058944444444,14.5421027777778,163.9476471,659.536111111111,
91,91,/Users/sergey/Pictures/exports/julshow2021/DSC09089.jpg,,,authS,2021-12-20T02:06:16Z,,/Users/sergey/Pictures/exports/IMG_4952 copy.jpg,61.0058944444444,14.5421027777778,163.9476471,659.545277777778,
92,92,/Users/sergey/Pictures/exports/julshow2021/DSC09062.jpg,,,authS,2021-12-20T02:06:13Z,,/Users/sergey/Pictures/exports/IMG_4952 copy.jpg,61.0058944444444,14.5421027777778,163.9476471,659.546111111111,
93,93,/Users/sergey/Pictures/exports/julshow2021/DSC09300.jpg,,,authS,2021-12-20T02:06:56Z,,/Users/sergey/Pictures/exports/IMG_4952 copy.jpg,61.0058944444444,14.5421027777778,163.9476471,659.534166666667,
94,94,/Users/sergey/Pictures/exports/2112/DSC00230-Edit.jpg,,,authS,2021-12-26T09:23:08Z,,/Users/sergey/Pictures/exports/IMG_4952 copy.jpg,61.0058944444444,14.5421027777778,163.9476471,508.264166666667,
95,95,/Users/sergey/Pictures/exports/2112/DSC00220-Edit.jpg,,,authS,2021-12-26T09:23:06Z,,/Users/sergey/Pictures/exports/IMG_4952 copy.jpg,61.0058944444444,14.5421027777778,163.9476471,508.264722222222,
96,96,/Users/sergey/Pictures/exports/2112/DSC00222.jpg,,,authS,2021-12-26T09:23:08Z,,/Users/sergey/Pictures/exports/IMG_4952 copy.jpg,61.0058944444444,14.5421027777778,163.9476471,508.264166666667,
97,97,/Users/sergey/Pictures/exports/2112/DSC00225.jpg,,,authS,2021-12-26T09:29:22Z,,/Users/sergey/Pictures/exports/IMG_4952 copy.jpg,61.0058944444444,14.5421027777778,163.9476471,508.160277777778,
98,98,/Users/sergey/Pictures/exports/2112/DSC00219.jpg,,,authS,2021-12-26T09:23:05Z,,/Users/sergey/Pictures/exports/IMG_4952 copy.jpg,61.0058944444444,14.5421027777778,163.9476471,508.265,
99,99,/Users/sergey/Pictures/exports/2112/DSC00224.jpg,,,authS,2021-12-26T09:29:22Z,,/Users/sergey/Pictures/exports/IMG_4952 copy.jpg,61.0058944444444,14.5421027777778,163.9476471,508.160277777778,
100,100,/Users/sergey/Pictures/exports/2112/DSC00174-Edit.jpg,,,authS,2021-12-26T09:23:05Z,,/Users/sergey/Pictures/exports/IMG_4952 copy.jpg,61.0058944444444,14.5421027777778,163.9476471,508.265,
101,101,/Users/sergey/Pictures/exports/deda Vova/IMG_1331.JPG,,,authS,2021-09-30T16:27:14Z,,/Users/sergey/Pictures/exports/deda Vova/IMG_2529.JPG,55.9135,37.55,187.2394578,0.0,
102,102,/Users/sergey/Pictures/exports/deda Vova/DSC01452.JPG,,,authS,2021-09-30T16:27:12Z,,/Users/sergey/Pictures/exports/deda Vova/IMG_2038.JPG,55.7326666666667,37.5863333333333,143.952,0.0,
103,103,/Users/sergey/Pictures/exports/deda Vova/SAM_1418.JPG,,,authS,2021-09-30T16:27:14Z,,/Users/sergey/Pictures/exports/deda Vova/IMG_2529.JPG,55.9135,37.55,187.2394578,0.0,
104,104,/Users/sergey/Pictures/exports/deda Vova/IMG_3428.JPG,,,authS,2021-09-30T16:27:14Z,,/Users/sergey/Pictures/exports/deda Vova/IMG_2529.JPG,55.9135,37.55,187.2394578,0.0,
105,105,/Users/sergey/Pictures/exports/deda Vova/IMG_3376.JPG,,,authS,2021-09-30T16:27:12Z,,/Users/sergey/Pictures/exports/deda Vova/IMG_2038.JPG,55.7326666666667,37.5863333333333,143.952,0.0,
106,106,/Users/sergey/Pictures/exports/deda Vova/SAM_3023.JPG,,,authS,2021-09-30T16:27:14Z,,/Users/sergey/Pictures/exports/deda Vova/IMG_2529.JPG,55.9135,37.55,187.2394578,0.0,
107,107,/Users/sergey/Pictures/exports/deda Vova/DSC00690.JPG,,,authS,2021-09-30T16:27:14Z,,/Users/sergey/Pictures/exports/deda Vova/IMG_2529.JPG,55.9135,37.55,187.2394578,0.0,True
